Name,Pos,Tm/Bye,Average,Stdev,Rank,Tier,ECR,ECRAvg,ECR VS. ADP,PS,Baseline
Patrick Mahomes,QB,KC/12,5.24,0.91,1.0,1,3|04,24.8,1.0,0.82,QB:12
Josh Allen,QB,BUF/7,4.68,0.8,2.0,1,5|02,42.4,1.7,0.65,RB:32
Kyler Murray,QB,ARI/12,4.4,1.61,3.0,1,6|04,54.0,1.5,0.5,WR:34
Lamar Jackson,QB,BAL/8,4.04,1.14,4.0,1,6|04,54.0,1.0,0.36,TE:13
Dak Prescott,QB,DAL/7,2.61,1.19,5.0,2,6|07,57.5,1.4,0.27,
Russell Wilson,QB,SEA/9,2.31,0.86,6.0,2,7|09,69.5,1.5,0.18,
Tom Brady,QB,TB/9,1.61,1.16,7.0,3,10|02,92.3,1.4,0.13,
Jalen Hurts,QB,PHI/14,1.14,1.14,8.0,3,9|09,89.7,0.9,0.09,
Aaron Rodgers,QB,GB/13,1.09,1.43,9.0,3,8|10,80.0,1.8,0.05,
Justin Herbert,QB,LAC/7,1.08,2.84,10.0,3,8|06,76.2,2.1,0.01,
Ryan Tannehill,QB,TEN/13,0.35,0.78,11.0,4,10|03,93.3,1.2,0.0,
Joe Burrow,QB,CIN/10,-0.48,1.1,12.0,4,11|02,102.9,1.8,0.0,
Matthew Stafford,QB,LAR/11,-0.85,0.87,13.0,4,10|10,100.9,1.0,0.0,
Matt Ryan,QB,ATL/6,-0.95,1.02,14.0,4,13|02,122.5,-0.2,0.0,
Kirk Cousins,QB,MIN/7,-1.26,0.86,15.0,5,13|05,125.9,-0.4,0.0,
Carson Wentz,QB,IND/14,-1.48,1.33,16.0,5,15|01,141.4,0.3,0.0,
Trevor Lawrence,QB,JAX/7,-1.65,1.25,17.0,5,13|07,127.4,2.2,0.0,
Derek Carr,QB,LV/8,-1.66,0.92,18.0,5,17|09,169.5,-0.8,0.0,
Baker Mayfield,QB,CLE/13,-1.77,0.87,19.0,5,14|10,140.1,1.2,0.0,
Daniel Jones,QB,NYG/10,-1.98,1.59,20.0,5,16|02,152.4,-2.9,0.0,
Tua Tagovailoa,QB,MIA/14,-2.1,2.08,21.0,5,16|04,154.4,0.7,0.0,
Ben Roethlisberger,QB,PIT/7,-2.72,1.49,22.0,5,16|08,158.6,1.0,0.0,
Sam Darnold,QB,CAR/13,-3.28,1.48,23.0,6,19|08,188.4,-2.3,0.0,
Ryan Fitzpatrick,QB,WAS/9,-3.37,3.55,24.0,6,15|07,147.1,-2.4,0.0,
Jared Goff,QB,DET/9,-3.4,1.82,25.0,6,21|10,210.4,-0.7,0.0,
Zach Wilson,QB,NYJ/6,-3.57,1.63,26.0,6,22|03,213.9,3.1,0.0,
Deshaun Watson,QB,HOU/10,-3.94,4.9,27.0,6,23|03,223.4,12.1,0.0,
Justin Fields,QB,CHI/10,-5.1,4.15,28.0,7,18|10,180.4,3.3,0.0,
Trey Lance,QB,SF/6,-5.58,4.01,29.0,7,22|05,215.5,6.1,0.0,
Cam Newton,QB,NE/14,-7.2,4.52,30.0,8,23|05,225.9,3.4,0.0,
Jameis Winston,QB,NO/6,-7.81,3.66,31.0,9,21|04,204.7,0.7,0.0,
Teddy Bridgewater,QB,DEN/11,-8.02,3.52,32.0,9,30|02,292.9,-1.5,0.0,
Tyrod Taylor,QB,HOU/10,-9.23,4.11,33.0,10,32|02,312.2,0.0,0.0,
Andy Dalton,QB,CHI/10,-10.18,4.15,34.0,10,34|08,338.8,0.0,0.0,
Mac Jones,QB,NE/14,-10.31,2.46,35.0,10,32|06,316.0,8.5,0.0,
Drew Lock,QB,DEN/11,-10.81,4.83,36.0,10,31|08,308.4,3.9,0.0,
